Priorite;Page;URL;Section;Nom fichier;Description;Chemin complet;Pages utilisatrices;Statut
;;;;;;;;
;;========================================;;;;;;
;;IMAGES PARTAGEES (SHARED);;;;;;
;;========================================;;;;;;
;;;;;;;;
;;--- GROUPE 1 : Expertises principales (3 images) ---;;;;;;
;;Composant: ServicesHomepage;;;;;;
;;Pages: Homepage + Qui sommes-nous = 2 pages;;;;;;
;;;;;;;;
1;SHARED;/images/shared/expertises/;Expertises;expertise-geo-seo.webp;Illustration expertise GEO & SEO;public/images/shared/expertises/expertise-geo-seo.webp;/ (Homepage) + /agence/qui-sommes-nous;A faire
1;SHARED;/images/shared/expertises/;Expertises;expertise-sea.webp;Illustration expertise SEA;public/images/shared/expertises/expertise-sea.webp;/ (Homepage) + /agence/qui-sommes-nous;A faire
1;SHARED;/images/shared/expertises/;Expertises;expertise-data.webp;Illustration expertise Data & Analytics;public/images/shared/expertises/expertise-data.webp;/ (Homepage) + /agence/qui-sommes-nous;A faire
;;;;;;;;
;;--- GROUPE 2 : Services SEO (4 images) ---;;;;;;
;;Composant: ServicesCards;;;;;;
;;Pages: /agence-geo-seo + 65 pages ville = 66 pages;;;;;;
;;;;;;;;
1;SHARED;/images/shared/services-seo/;Nos services;service-audit-seo.webp;Service Audit SEO complet;public/images/shared/services-seo/service-audit-seo.webp;/agence-geo-seo + TOUTES pages ville (66 pages);A faire
1;SHARED;/images/shared/services-seo/;Nos services;service-seo-technique.webp;Service SEO semantique et technique;public/images/shared/services-seo/service-seo-technique.webp;/agence-geo-seo + TOUTES pages ville (66 pages);A faire
1;SHARED;/images/shared/services-seo/;Nos services;service-netlinking.webp;Service Netlinking;public/images/shared/services-seo/service-netlinking.webp;/agence-geo-seo + TOUTES pages ville (66 pages);A faire
1;SHARED;/images/shared/services-seo/;Nos services;service-creation-contenu.webp;Service Creation de contenu;public/images/shared/services-seo/service-creation-contenu.webp;/agence-geo-seo + TOUTES pages ville (66 pages);A faire
;;;;;;;;
;;--- GROUPE 3 : Comprendre le GEO (4 images) ---;;;;;;
;;Composant: FeaturesGrid;;;;;;
;;Pages: 65 pages ville uniquement;;;;;;
;;;;;;;;
1;SHARED;/images/shared/geo-education/;Comprendre le GEO;geo-quest-ce-que.webp;Quest-ce que le GEO - concept;public/images/shared/geo-education/geo-quest-ce-que.webp;TOUTES pages ville uniquement (65 pages);A faire
1;SHARED;/images/shared/geo-education/;Comprendre le GEO;geo-contenus-citables.webp;Contenus citation-ready pour IA;public/images/shared/geo-education/geo-contenus-citables.webp;TOUTES pages ville uniquement (65 pages);A faire
1;SHARED;/images/shared/geo-education/;Comprendre le GEO;geo-autorite-thematique.webp;Autorite thematique;public/images/shared/geo-education/geo-autorite-thematique.webp;TOUTES pages ville uniquement (65 pages);A faire
1;SHARED;/images/shared/geo-education/;Comprendre le GEO;geo-reseau-mentions.webp;Reseau de mentions;public/images/shared/geo-education/geo-reseau-mentions.webp;TOUTES pages ville uniquement (65 pages);A faire
;;;;;;;;
;;========================================;;;;;;
;;IMAGES SPECIFIQUES PAR PAGE;;;;;;
;;========================================;;;;;;
;;;;;;;;
;;--- AGENCE ---;;;;;;
;;;;;;;;
